fold,method,accuracy,silhouette_score,davies_bouldin_index,calinski_harabasz_index,used_codes,utilization_ratio
1,NRT,0.64975,,,,,
1,NCT (M=3),0.64975,,,,1.0,0.3333333333333333
1,NCT (M=9),0.6505,0.5505738854408264,0.6117317211049804,40868.8203125,2.0,0.2222222222222222
1,NCT (M=27),0.65175,0.06268837302923203,0.8101728281834427,12226.5126953125,4.0,0.14814814814814814
1,NCT (M=81),0.6535,0.19803360104560852,1.038961005075443,19645.30078125,4.0,0.04938271604938271
2,NRT,0.65625,,,,,
2,NCT (M=3),0.6559,0.3886035084724426,0.5171487251758354,5917.794921875,2.0,0.6666666666666666
2,NCT (M=9),0.65625,0.2634636163711548,0.5354199361959825,2126.13916015625,2.0,0.2222222222222222
2,NCT (M=27),0.65495,0.303423672914505,0.7702188835234526,29190.984375,3.0,0.1111111111111111
2,NCT (M=81),0.65625,0.2643454968929291,0.6865753335825943,24940.83203125,3.0,0.037037037037037035
3,NRT,0.6548,,,,,
3,NCT (M=3),0.6548,,,,1.0,0.3333333333333333
3,NCT (M=9),0.6526,0.44500303268432617,0.5984001567076875,22354.029296875,2.0,0.2222222222222222
3,NCT (M=27),0.65515,0.0768074318766594,0.8936132694090043,16532.734375,3.0,0.1111111111111111
3,NCT (M=81),0.65385,0.0979892909526825,0.855840162087412,15946.8349609375,3.0,0.037037037037037035
4,NRT,0.658,,,,,
4,NCT (M=3),0.658,,,,1.0,0.3333333333333333
4,NCT (M=9),0.65675,0.5279263854026794,0.6099633447144999,36352.37109375,2.0,0.2222222222222222
4,NCT (M=27),0.65555,0.5255552530288696,0.6414030661447614,36424.16796875,2.0,0.07407407407407407
4,NCT (M=81),0.6571,0.21562787890434265,1.0373757318955494,22186.92578125,4.0,0.04938271604938271
5,NRT,0.6581,,,,,
5,NCT (M=3),0.6581,,,,1.0,0.3333333333333333
5,NCT (M=9),0.6581,,,,1.0,0.1111111111111111
5,NCT (M=27),0.66015,0.2551024556159973,0.8068309276309288,19005.234375,3.0,0.1111111111111111
5,NCT (M=81),0.6593,0.11321719735860825,1.947933950898387,7398.560546875,7.0,0.08641975308641975
