method,paper_accuracy,accuracy_mean,relative_deviation
NRT,0.649,0.6553800000000001,0.009830508474576352
NCT (M=3),0.644,0.6553100000000001,0.0175621118012423
NCT (M=9),0.642,0.65484,0.01999999999999994
NCT (M=27),0.642,0.65551,0.02104361370716514
NCT (M=81),0.639,0.656,0.026604068857590008
