method,accuracy_mean,accuracy_std,silhouette_mean,dbi_mean,chi_mean,used_codes_mean,utilization_mean
NCT (M=27),0.65551,0.003004663042672152,0.24471543729305267,0.784447794978318,22675.9267578125,3.0,0.11111111111111112
NCT (M=3),0.6553100000000001,0.0034110848714155604,0.3886035084724426,0.5171487251758354,5917.794921875,1.2,0.39999999999999997
NCT (M=81),0.656,0.0023997395692033287,0.1778426930308342,1.113337236707877,18023.6908203125,4.2,0.05185185185185185
NCT (M=9),0.65484,0.0031668991142756674,0.4467417299747467,0.5888787896807876,25425.339965820312,1.8,0.2
NRT,0.6553800000000001,0.0034297594667847737,,,,,
