method,accuracy_mean,accuracy_std,silhouette_mean,dbi_mean,chi_mean,used_codes_mean,utilization_mean
NCT (M=27),0.65554,0.003062760193028483,0.24450219869613649,0.7845739582003974,22674.3796875,3.0,0.11111111111111112
NCT (M=3),0.65532,0.0034213666859897,0.38859546184539795,0.5171521879253005,5917.61279296875,1.2,0.39999999999999997
NCT (M=81),0.65603,0.0025160981697859193,0.1771269127726555,1.0201534971740995,18302.158203125,4.0,0.04938271604938271
NCT (M=9),0.65479,0.003283557521956975,0.446678102016449,0.5889192386909883,25415.34588623047,1.8,0.2
NRT,0.65539,0.0034397310941409074,,,,,
